n,m,sigma,eps,algo_id,algo_name,rounds,avg_time,median_time,max_time,avg_ratio,median_ratio,max_ratio
1000000,200000,320,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,10.9013,10.9049,10.9066,0.0465968,0.0463128,0.0476303
1000000,200000,640,0.1,0,"Brute force",3,14.276,14.2375,14.362,0,0,0
1000000,200000,640,0.1,1,"Projection to 2/eps alphabet",3,12.5075,12.5146,12.5555,0.0487075,0.048747,0.0488121
1000000,200000,640,0.1,2,"Sqrt",3,0.0855198,0.0856638,0.0861233,0,0,0
1000000,200000,640,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,10.8882,10.9048,10.9294,0.0346747,0.0378941,0.0398954
1000000,200000,640,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,11.1174,11.1283,11.1472,0.0262891,0.0265096,0.039607
1000000,200000,640,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,10.8516,10.8337,10.9164,0.0452209,0.0454122,0.0469915
1000000,200000,1280,0.1,0,"Brute force",3,14.2972,14.2928,14.3192,0,0,0
1000000,200000,1280,0.1,1,"Projection to 2/eps alphabet",3,12.4339,12.345,12.7091,0.0495694,0.0494949,0.0497612
1000000,200000,1280,0.1,2,"Sqrt",3,0.0773451,0.0760899,0.0814167,0,0,0
1000000,200000,1280,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,11.585,11.6053,11.6207,0.0461352,0.0485283,0.0488168
1000000,200000,1280,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,11.4164,11.4976,11.5054,0.0480232,0.0479351,0.0483461
1000000,200000,1280,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,11.4373,11.4197,11.6213,0.0490908,0.0492878,0.0493647
1000000,200000,1000,0.05,0,"Brute force",3,14.3529,14.3767,14.3821,0,0,0
1000000,200000,1000,0.05,1,"Projection to 2/eps alphabet",3,24.3427,24.3949,24.5207,0.0242907,0.0242714,0.0243909
1000000,200000,1000,0.05,2,"Sqrt",3,0.0731821,0.0732835,0.0734827,0,0,0
1000000,200000,1000,0.05,3,"Heuristic 1: sum(bucket_mass)^2",3,21.6792,21.6907,21.7102,0.0193362,0.020073,0.0217632
1000000,200000,1000,0.05,4,"Heuristic 2: sum(max freq over windows)^2",3,21.8896,21.8834,21.9223,0.0218909,0.0228762,0.0231957
