n,m,sigma,eps,algo_id,algo_name,rounds,avg_time,avg_ratio,max_ratio
10000,5000,10,0.5,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.00783181,0.182487,0.183623
10000,500,100,0.05,0,"Brute Force",3,0.000304722,0,0
10000,500,100,0.05,1,"Projection to Binary Alphabet",3,0.087514,0.0202528,0.0222672
10000,500,100,0.05,2,"Sqrt",3,5.53473e-05,0,0
10000,500,100,0.05,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0752915,0.0222146,0.0240964
10000,500,100,0.05,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0758283,0.0215739,0.0223577
10000,500,100,0.05,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0746561,0.0215476,0.0222672
10000,500,100,0.1,0,"Brute Force",3,0.000302417,0,0
10000,500,100,0.1,1,"Projection to Binary Alphabet",3,0.0438901,0.0457847,0.0481928
10000,500,100,0.1,2,"Sqrt",3,5.44447e-05,0,0
10000,500,100,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0372517,0.0479402,0.0487805
10000,500,100,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0382618,0.0499299,0.0526316
10000,500,100,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0378266,0.0478417,0.0484848
10000,500,100,0.2,0,"Brute Force",3,0.000299861,0,0
10000,500,100,0.2,1,"Projection to Binary Alphabet",3,0.0224624,0.0987203,0.100204
10000,500,100,0.2,2,"Sqrt",3,6.7083e-05,0,0
10000,500,100,0.2,3,"Heuristic 1: sum(bucket_mass)^2",3,0.019174,0.100944,0.103239
10000,500,100,0.2,4,"Heuristic 2: sum(max freq over windows)^2",3,0.019678,0.103213,0.106426
10000,500,100,0.2,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0189469,0.101211,0.102616
10000,500,100,0.5,0,"Brute Force",3,0.000294792,0,0
10000,500,100,0.5,1,"Projection to Binary Alphabet",3,0.00895381,0.252533,0.25355
10000,500,100,0.5,2,"Sqrt",3,4.92773e-05,0,0
10000,500,100,0.5,3,"Heuristic 1: sum(bucket_mass)^2",3,0.00775586,0.260437,0.264113
10000,500,100,0.5,4,"Heuristic 2: sum(max freq over windows)^2",3,0.00843442,0.260254,0.262626
10000,500,100,0.5,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.00760213,0.261301,0.263052
10000,1000,100,0.05,0,"Brute Force",3,0.000547403,0,0
10000,1000,100,0.05,1,"Projection to Binary Alphabet",3,0.0890338,0.0192816,0.020284
10000,1000,100,0.05,2,"Sqrt",3,7.70137e-05,0,0
10000,1000,100,0.05,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0764435,0.0198845,0.020202
10000,1000,100,0.05,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0759368,0.0192298,0.0202224
10000,1000,100,0.05,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0757655,0.0205794,0.0211907
10000,1000,100,0.1,0,"Brute Force",3,0.000523042,0,0
10000,1000,100,0.1,1,"Projection to Binary Alphabet",3,0.0449236,0.0445315,0.0474268
10000,1000,100,0.1,2,"Sqrt",3,7.7444e-05,0,0
10000,1000,100,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0381472,0.0463894,0.0475228
10000,1000,100,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0384438,0.0468487,0.0475228
10000,1000,100,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0376808,0.0459579,0.0483871
10000,1000,100,0.2,0,"Brute Force",3,0.00054382,0,0
10000,1000,100,0.2,1,"Projection to Binary Alphabet",3,0.0219276,0.0972406,0.0977823
10000,1000,100,0.2,2,"Sqrt",3,7.60973e-05,0,0
10000,1000,100,0.2,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0189284,0.100269,0.10101
10000,1000,100,0.2,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0198585,0.100899,0.104628
10000,1000,100,0.2,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0191462,0.0992612,0.101712
10000,1000,100,0.5,0,"Brute Force",3,0.00054507,0,0
10000,1000,100,0.5,1,"Projection to Binary Alphabet",3,0.0089919,0.255137,0.260343
10000,1000,100,0.5,2,"Sqrt",3,7.64863e-05,0,0
10000,1000,100,0.5,3,"Heuristic 1: sum(bucket_mass)^2",3,0.00769421,0.254374,0.25504
10000,1000,100,0.5,4,"Heuristic 2: sum(max freq over windows)^2",3,0.00851146,0.256556,0.261616
10000,1000,100,0.5,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.00775954,0.254295,0.257345
10000,2000,100,0.05,0,"Brute Force",3,0.000938611,0,0
10000,2000,100,0.05,1,"Projection to Binary Alphabet",3,0.0896899,0.0178352,0.018191
10000,2000,100,0.05,2,"Sqrt",3,0.000105889,0,0
10000,2000,100,0.05,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0755298,0.0185087,0.0191532
10000,2000,100,0.05,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0761998,0.0187311,0.0187913
10000,2000,100,0.05,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0756898,0.0191626,0.0196573
10000,2000,100,0.1,0,"Brute Force",3,0.000956695,0,0
10000,2000,100,0.1,1,"Projection to Binary Alphabet",3,0.0445606,0.0432206,0.0436105
10000,2000,100,0.1,2,"Sqrt",3,0.000116097,0,0
10000,2000,100,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0377747,0.0449652,0.0465587
10000,2000,100,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0392299,0.044958,0.0459828
10000,2000,100,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0377745,0.0445514,0.0458207
10000,2000,100,0.2,0,"Brute Force",3,0.000933403,0,0
10000,2000,100,0.2,1,"Projection to Binary Alphabet",3,0.0224561,0.094886,0.0961538
10000,2000,100,0.2,2,"Sqrt",3,0.000115833,0,0
10000,2000,100,0.2,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0190379,0.0975781,0.100051
10000,2000,100,0.2,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0198519,0.0974967,0.0985844
10000,2000,100,0.2,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0190885,0.0967492,0.0985915
10000,2000,100,0.5,0,"Brute Force",3,0.000958625,0,0
10000,2000,100,0.5,1,"Projection to Binary Alphabet",3,0.00891679,0.246923,0.24772
10000,2000,100,0.5,2,"Sqrt",3,0.000115945,0,0
10000,2000,100,0.5,3,"Heuristic 1: sum(bucket_mass)^2",3,0.00770121,0.252395,0.253152
10000,2000,100,0.5,4,"Heuristic 2: sum(max freq over windows)^2",3,0.00856796,0.250927,0.252275
10000,2000,100,0.5,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.00787547,0.250085,0.250887
10000,5000,100,0.05,0,"Brute Force",3,0.00140935,0,0
10000,5000,100,0.05,1,"Projection to Binary Alphabet",3,0.0903185,0.0172294,0.0175156
10000,5000,100,0.05,2,"Sqrt",3,0.000269805,0,0
10000,5000,100,0.05,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0768437,0.0180725,0.0185784
10000,5000,100,0.05,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0772988,0.0177186,0.0181818
10000,5000,100,0.05,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0769567,0.0177237,0.0180053
10000,5000,100,0.1,0,"Brute Force",3,0.00142696,0,0
10000,5000,100,0.1,1,"Projection to Binary Alphabet",3,0.0454701,0.0419449,0.04239
10000,5000,100,0.1,2,"Sqrt",3,0.000236875,0,0
10000,5000,100,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0387141,0.0435074,0.0442424
10000,5000,100,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0392544,0.0433492,0.0436011
10000,5000,100,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0384974,0.0430305,0.0436356
10000,5000,100,0.2,0,"Brute Force",3,0.00144814,0,0
10000,5000,100,0.2,1,"Projection to Binary Alphabet",3,0.0228888,0.0931625,0.0937753
10000,5000,100,0.2,2,"Sqrt",3,0.000231389,0,0
10000,5000,100,0.2,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0193721,0.0943331,0.0949303
10000,5000,100,0.2,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0203203,0.0952349,0.0960566
10000,5000,100,0.2,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0195958,0.094757,0.0951613
10000,5000,100,0.5,0,"Brute Force",3,0.00143354,0,0
10000,5000,100,0.5,1,"Projection to Binary Alphabet",3,0.00925433,0.2467,0.247729
10000,5000,100,0.5,2,"Sqrt",3,0.000235195,0,0
10000,5000,100,0.5,3,"Heuristic 1: sum(bucket_mass)^2",3,0.00792761,0.247826,0.248638
10000,5000,100,0.5,4,"Heuristic 2: sum(max freq over windows)^2",3,0.00845518,0.247543,0.249343
10000,5000,100,0.5,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.00796721,0.247306,0.248032
10000,500,1000,0.05,0,"Brute Force",3,0.000305764,0,0
10000,500,1000,0.05,1,"Projection to Binary Alphabet",3,0.0886593,0.0287229,0.03
10000,500,1000,0.05,2,"Sqrt",3,3.44167e-05,0,0
10000,500,1000,0.05,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0748931,0.0293721,0.0300601
10000,500,1000,0.05,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0762014,0.0300401,0.0320641
10000,500,1000,0.05,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0747019,0.0287429,0.0301811
10000,500,1000,0.1,0,"Brute Force",3,0.000298722,0,0
10000,500,1000,0.1,1,"Projection to Binary Alphabet",3,0.0441771,0.0547027,0.0561122
10000,500,1000,0.1,2,"Sqrt",3,3.40277e-05,0,0
10000,500,1000,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0373268,0.0567041,0.058
10000,500,1000,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,0.038622,0.0567802,0.0582329
10000,500,1000,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0375754,0.0580775,0.0581162
10000,500,1000,0.2,0,"Brute Force",3,0.000298472,0,0
10000,500,1000,0.2,1,"Projection to Binary Alphabet",3,0.0224407,0.108144,0.11022
10000,500,1000,0.2,2,"Sqrt",3,3.69447e-05,0,0
10000,500,1000,0.2,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0191052,0.110073,0.11022
10000,500,1000,0.2,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0197192,0.112073,0.114
10000,500,1000,0.2,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0190877,0.110144,0.114
10000,500,1000,0.5,0,"Brute Force",3,0.000300111,0,0
10000,500,1000,0.5,1,"Projection to Binary Alphabet",3,0.009097,0.261681,0.268537
10000,500,1000,0.5,2,"Sqrt",3,2.38473e-05,0,0
10000,500,1000,0.5,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0078051,0.264353,0.268
10000,500,1000,0.5,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0086295,0.266844,0.268
10000,500,1000,0.5,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0076819,0.266531,0.270541
10000,1000,1000,0.05,0,"Brute Force",3,0.00052975,0,0
10000,1000,1000,0.05,1,"Projection to Binary Alphabet",3,0.0882383,0.0267021,0.027027
10000,1000,1000,0.05,2,"Sqrt",3,3.9153e-05,0,0
10000,1000,1000,0.05,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0753625,0.0286857,0.029029
10000,1000,1000,0.05,4,"Heuristic 2: sum(max freq over windows)^2",3,0.076158,0.0283707,0.03003
10000,1000,1000,0.05,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0755761,0.0277124,0.03003
10000,1000,1000,0.1,0,"Brute Force",3,0.000541834,0,0
10000,1000,1000,0.1,1,"Projection to Binary Alphabet",3,0.0447842,0.0537204,0.0541625
10000,1000,1000,0.1,2,"Sqrt",3,3.94167e-05,0,0
10000,1000,1000,0.1,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0379813,0.0540721,0.055
10000,1000,1000,0.1,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0382893,0.0540361,0.056
10000,1000,1000,0.1,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0376584,0.0558534,0.0562814
10000,1000,1000,0.2,0,"Brute Force",3,0.000541833,0,0
10000,1000,1000,0.2,1,"Projection to Binary Alphabet",3,0.0221985,0.105878,0.106212
10000,1000,1000,0.2,2,"Sqrt",3,4.075e-05,0,0
10000,1000,1000,0.2,3,"Heuristic 1: sum(bucket_mass)^2",3,0.018921,0.106809,0.107214
10000,1000,1000,0.2,4,"Heuristic 2: sum(max freq over windows)^2",3,0.0194954,0.107513,0.109218
10000,1000,1000,0.2,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.0188874,0.108404,0.11
10000,1000,1000,0.5,0,"Brute Force",3,0.000546889,0,0
10000,1000,1000,0.5,1,"Projection to Binary Alphabet",3,0.00902965,0.258172,0.26
10000,1000,1000,0.5,2,"Sqrt",3,3.96667e-05,0,0
10000,1000,1000,0.5,3,"Heuristic 1: sum(bucket_mass)^2",3,0.00775037,0.258419,0.262
10000,1000,1000,0.5,4,"Heuristic 2: sum(max freq over windows)^2",3,0.00853726,0.261685,0.264056
10000,1000,1000,0.5,5,"Heuristic 3: sum(weighted_bucket_mass)^2",3,0.00771218,0.263439,0.265265
10000,2000,1000,0.05,0,"Brute Force",3,0.000933611,0,0
10000,2000,1000,0.05,1,"Projection to Binary Alphabet",3,0.0893886,0.0258722,0.0260521
10000,2000,1000,0.05,2,"Sqrt",3,5.21527e-05,0,0
10000,2000,1000,0.05,3,"Heuristic 1: sum(bucket_mass)^2",3,0.0756741,0.0261928,0.0265133
10000,2000,1000,0.05,4,"Heuristic 2: sum(max freq over windows)^2",3,0.076258,0.0268692,0.0275413
