n,m,sigma,eps,alg_id,algo_name,rounds,avg_time,median_time,max_time,avg_ratio,median_ratio,max_ratio
1000000,100000,100,0.2,2,"Sqrt",5,0.96431,0.964104,0.965807,0,0,0
1000000,100000,100,0.2,3,"Projection to 2/eps alphabet",5,6.35116,6.3528,6.35726,0.04575,0.0457786,0.0459156
1000000,100000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.325156,0.324967,0.325736,0.0449561,0.0449904,0.0453985
1000000,100000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.325246,0.325251,0.325625,0.0449083,0.0448973,0.045172
1000000,200000,100,0.2,1,"Brute force fast",5,4.08354,4.08328,4.08588,0,0,0
1000000,200000,100,0.2,2,"Sqrt",5,1.9797,1.97986,1.98037,0,0,0
1000000,200000,100,0.2,3,"Projection to 2/eps alphabet",5,8.04767,8.04773,8.05088,0.0437862,0.0437253,0.0444063
1000000,200000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.410184,0.410147,0.410549,0.043284,0.0432117,0.0438646
1000000,200000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.410569,0.410453,0.411005,0.0430782,0.043004,0.0433223
1000000,400000,100,0.2,1,"Brute force fast",5,6.14216,6.14183,6.14436,0,0,0
1000000,400000,100,0.2,2,"Sqrt",5,4.67684,4.67726,4.67952,0,0,0
1000000,400000,100,0.2,3,"Projection to 2/eps alphabet",5,9.09963,9.09989,9.10081,0.0421437,0.0420852,0.0423673
1000000,400000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.46291,0.462702,0.463785,0.0417841,0.0417948,0.0418112
1000000,400000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.462994,0.463095,0.46314,0.0418008,0.0418232,0.0420167
1000000,600000,100,0.2,1,"Brute force fast",5,7.24689,7.24665,7.24825,0,0,0
1000000,600000,100,0.2,2,"Sqrt",5,9.38471,9.39839,9.43198,0,0,0
1000000,600000,100,0.2,3,"Projection to 2/eps alphabet",5,11.189,11.1891,11.1897,0.0414503,0.0414662,0.0415237
1000000,600000,100,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.56505,0.564986,0.565601,0.0415083,0.0414087,0.041856
1000000,600000,100,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.564947,0.564933,0.565097,0.0412993,0.0413194,0.0413846
1000000,200000,4,0.2,1,"Brute force fast",5,4.07281,4.07271,4.07322,0,0,0
1000000,200000,4,0.2,2,"Sqrt",5,0.23813,0.237518,0.240875,0,0,0
1000000,200000,4,0.2,3,"Projection to 2/eps alphabet",5,4.61081,4.6111,4.6124,0.2,0.2,0.2
1000000,200000,4,0.2,4,"Projection to 2/eps alphabet with short circuit",5,0.238443,0.238401,0.238834,0.2,0.2,0.2
1000000,200000,4,0.2,5,"Projection to 2/eps alphabet with magic short circuit",5,0.238976,0.239012,0.239055,0.2,0.2,0.2
1000000,200000,10,0.2,1,"Brute force fast",5,4.07284,4.07251,4.07419,0,0,0
1000000,200000,10,0.2,2,"Sqrt",5,0.58014,0.579541,0.583086,0,0,0
